repo,commit,parent_commit,file_path,method_name,method_start,method_end,hunk_id,github_link
apache/ant-ivy,66310f553103e515ab41aa573aaf2e4101efa635,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java,listRevisions,125,140,5a82f5bd912063217a88a227,https://github.com/apache/ant-ivy/commit/66310f553103e515ab41aa573aaf2e4101efa635#diff-9a36e9569ff0d3235a0ac31d74892cafef800bc4baf30f1955b4fe60e0d29375
apache/ant-ivy,7f640b0badf5106821908fcae610400849cdccc5,0baa78fc53467ec1e46db1c52877a3973f753d6b,src/java/org/apache/ivy/plugins/resolver/RepositoryResolver.java,findResourceUsingPattern,80,134,5a82f5b2912063217d889bcf,https://github.com/apache/ant-ivy/commit/7f640b0badf5106821908fcae610400849cdccc5#diff-d71437e76250183a284a8a5ab4030e31adcc2d94d352ec05802761ee39a44746
apache/ant-ivy,7f640b0badf5106821908fcae610400849cdccc5,0baa78fc53467ec1e46db1c52877a3973f753d6b,src/java/org/apache/ivy/core/cache/DefaultRepositoryCacheManager.java,MyModuleDescriptorProvider,650,652,5a82f5b2912063217d889bab,https://github.com/apache/ant-ivy/commit/7f640b0badf5106821908fcae610400849cdccc5#diff-510e0a8d1a78f0cec1234e05904e892d30c004f5c6a0a23acfc19690836e1bd6
apache/ant-ivy,7f640b0badf5106821908fcae610400849cdccc5,0baa78fc53467ec1e46db1c52877a3973f753d6b,src/java/org/apache/ivy/core/cache/DefaultRepositoryCacheManager.java,provideModule,654,657,5a82f5b2912063217d889bac,https://github.com/apache/ant-ivy/commit/7f640b0badf5106821908fcae610400849cdccc5#diff-510e0a8d1a78f0cec1234e05904e892d30c004f5c6a0a23acfc19690836e1bd6
apache/ant-ivy,7f640b0badf5106821908fcae610400849cdccc5,0baa78fc53467ec1e46db1c52877a3973f753d6b,src/java/org/apache/ivy/core/cache/DefaultRepositoryCacheManager.java,getMdFromCache,660,666,5a82f5b2912063217d889bad,https://github.com/apache/ant-ivy/commit/7f640b0badf5106821908fcae610400849cdccc5#diff-510e0a8d1a78f0cec1234e05904e892d30c004f5c6a0a23acfc19690836e1bd6
apache/ant-ivy,7f640b0badf5106821908fcae610400849cdccc5,0baa78fc53467ec1e46db1c52877a3973f753d6b,src/java/org/apache/ivy/core/cache/DefaultRepositoryCacheManager.java,getStaledMd,668,674,5a82f5b2912063217d889bae,https://github.com/apache/ant-ivy/commit/7f640b0badf5106821908fcae610400849cdccc5#diff-510e0a8d1a78f0cec1234e05904e892d30c004f5c6a0a23acfc19690836e1bd6
apache/ant-ivy,7f640b0badf5106821908fcae610400849cdccc5,0baa78fc53467ec1e46db1c52877a3973f753d6b,src/java/org/apache/ivy/core/cache/DefaultRepositoryCacheManager.java,cacheModuleDescriptor,891,1058,5a82f5b2912063217d889bb0,https://github.com/apache/ant-ivy/commit/7f640b0badf5106821908fcae610400849cdccc5#diff-510e0a8d1a78f0cec1234e05904e892d30c004f5c6a0a23acfc19690836e1bd6
apache/ant-ivy,7f640b0badf5106821908fcae610400849cdccc5,0baa78fc53467ec1e46db1c52877a3973f753d6b,src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorParser.java,parseDescriptor,110,284,5a82f5b2912063217d889bbc,https://github.com/apache/ant-ivy/commit/7f640b0badf5106821908fcae610400849cdccc5#diff-f0381b6e17a800e6b4e72ea1b7e4af982a103a52a9bb7f920f9b680446008e0c
apache/ant-ivy,7f640b0badf5106821908fcae610400849cdccc5,0baa78fc53467ec1e46db1c52877a3973f753d6b,src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorParser.java,parseOtherPom,335,354,5a82f5b2912063217d889bbd,https://github.com/apache/ant-ivy/commit/7f640b0badf5106821908fcae610400849cdccc5#diff-f0381b6e17a800e6b4e72ea1b7e4af982a103a52a9bb7f920f9b680446008e0c
apache/ant-ivy,7f640b0badf5106821908fcae610400849cdccc5,0baa78fc53467ec1e46db1c52877a3973f753d6b,src/java/org/apache/ivy/plugins/parser/m2/PomReader.java,PomReader,90,118,5a82f5b2912063217d889bc1,https://github.com/apache/ant-ivy/commit/7f640b0badf5106821908fcae610400849cdccc5#diff-7c05a4255accccf66e450821bb43bc5c9ddf05407293d3079ecab5f6a07e3847
apache/ant-ivy,7f640b0badf5106821908fcae610400849cdccc5,0baa78fc53467ec1e46db1c52877a3973f753d6b,src/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorParser.java,parseOtherIvyFile,540,582,5a82f5b2912063217d889bc4,https://github.com/apache/ant-ivy/commit/7f640b0badf5106821908fcae610400849cdccc5#diff-98a885fc9738e8d49a74612fc7dcb7cc7ef2230886ed31f5c5cd08559ef3bc12
apache/ant-ivy,fe05cf44d3eb2f00fde5c75d60079d34743c9a48,88004447d956a97b0e1765c73ae7649029dc87a2,src/java/org/apache/ivy/core/cache/DefaultRepositoryCacheManager.java,getArchivePathInCache,358,360,5a82f5bb912063217d88a301,https://github.com/apache/ant-ivy/commit/fe05cf44d3eb2f00fde5c75d60079d34743c9a48#diff-510e0a8d1a78f0cec1234e05904e892d30c004f5c6a0a23acfc19690836e1bd6
apache/ant-ivy,fe05cf44d3eb2f00fde5c75d60079d34743c9a48,88004447d956a97b0e1765c73ae7649029dc87a2,src/java/org/apache/ivy/core/cache/DefaultRepositoryCacheManager.java,getOriginalMetadataArtifact,1009,1012,5a82f5bb912063217d88a302,https://github.com/apache/ant-ivy/commit/fe05cf44d3eb2f00fde5c75d60079d34743c9a48#diff-510e0a8d1a78f0cec1234e05904e892d30c004f5c6a0a23acfc19690836e1bd6
apache/ant-ivy,ff3804849e0badfe6fee032f39dacb577be94c22,1e19908591da85e378e26b0a99d07406cd878ee1,src/java/fr/jayasoft/ivy/Ivy.java,retrieve,1446,1553,5a82f5ef912063217a88d856,https://github.com/apache/ant-ivy/commit/ff3804849e0badfe6fee032f39dacb577be94c22#diff-11af8a52c058739f74e9605b61dffa3189bd3e80328da3811fd93e3bf04116cc
apache/ant-ivy,ff3804849e0badfe6fee032f39dacb577be94c22,1e19908591da85e378e26b0a99d07406cd878ee1,src/java/fr/jayasoft/ivy/ant/IvyRetrieve.java,execute,65,103,5a82f5ef912063217a88d858,https://github.com/apache/ant-ivy/commit/ff3804849e0badfe6fee032f39dacb577be94c22#diff-6d6431a8507609ad2ea2bc8dbc3dd3e4f96e7467ad384f5c6c85646ac7f4d712
apache/ant-ivy,64d6303154b1c85181c686d0a6e7c0437e5da770,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,src/java/fr/jayasoft/ivy/xml/XmlModuleDescriptorUpdater.java,update,59,277,5a82f5ec912063217b88cc0e,https://github.com/apache/ant-ivy/commit/64d6303154b1c85181c686d0a6e7c0437e5da770#diff-25b2f71bc3e2d99a30cc65d4d86535efb6cf81eae7366e43494d8781b6ead8cd
apache/ant-ivy,64d6303154b1c85181c686d0a6e7c0437e5da770,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,src/java/fr/jayasoft/ivy/xml/XmlModuleDescriptorUpdater.java,startElement,79,193,5a82f5ec912063217b88cc10,https://github.com/apache/ant-ivy/commit/64d6303154b1c85181c686d0a6e7c0437e5da770#diff-25b2f71bc3e2d99a30cc65d4d86535efb6cf81eae7366e43494d8781b6ead8cd
apache/ant-ivy,64d6303154b1c85181c686d0a6e7c0437e5da770,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,src/java/fr/jayasoft/ivy/xml/XmlModuleDescriptorUpdater.java,copyHeader,288,302,5a82f5ec912063217b88cc15,https://github.com/apache/ant-ivy/commit/64d6303154b1c85181c686d0a6e7c0437e5da770#diff-25b2f71bc3e2d99a30cc65d4d86535efb6cf81eae7366e43494d8781b6ead8cd
apache/ant-ivy,64d6303154b1c85181c686d0a6e7c0437e5da770,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,src/java/fr/jayasoft/ivy/xml/XmlModuleDescriptorParser.java,startElement,161,405,5a82f5ec912063217b88cc0a,https://github.com/apache/ant-ivy/commit/64d6303154b1c85181c686d0a6e7c0437e5da770#diff-d035f0d285adbb17f55ec0782e3ca80c8cde67958a2e62191e858e56c32f662f
apache/ant-ivy,64d6303154b1c85181c686d0a6e7c0437e5da770,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,src/java/fr/jayasoft/ivy/util/XMLHelper.java,parse,65,99,5a82f5ec912063217b88cc06,https://github.com/apache/ant-ivy/commit/64d6303154b1c85181c686d0a6e7c0437e5da770#diff-ca7ab9359488b9c6ff344280f9d21c1354524c447ec071dbd6617b9bf53191ac
apache/ant-ivy,8bbf8370c328e75d8e926fea9a114178a708db28,547691c621d6cf7c9ceab9c90d2097a35e79c1db,src/java/org/apache/ivy/core/publish/PublishEngine.java,publish,166,234,5a82f5b9912063217c889ffb,https://github.com/apache/ant-ivy/commit/8bbf8370c328e75d8e926fea9a114178a708db28#diff-da84c5e26eff656cd862eeb0f67a19878442bcf87a09f38b72d3ee8d4a4cc994
apache/ant-ivy,8bbf8370c328e75d8e926fea9a114178a708db28,547691c621d6cf7c9ceab9c90d2097a35e79c1db,src/java/org/apache/ivy/ant/IvyPublish.java,doExecute,203,313,5a82f5b9912063217c889ff6,https://github.com/apache/ant-ivy/commit/8bbf8370c328e75d8e926fea9a114178a708db28#diff-a409a0844eea119cafbe7b35e44061b6add2f53d7cd353490749bc2fd27cb0c3
apache/ant-ivy,815513f7da72c65034e82236d3203c06d5a18772,63b2ea841abd0069145443e5b140148960227b6e,src/java/fr/jayasoft/ivy/xml/XmlModuleDescriptorUpdater.java,update,71,246,5a82f5f3912063217d88eb3f,https://github.com/apache/ant-ivy/commit/815513f7da72c65034e82236d3203c06d5a18772#diff-25b2f71bc3e2d99a30cc65d4d86535efb6cf81eae7366e43494d8781b6ead8cd
apache/ant-ivy,815513f7da72c65034e82236d3203c06d5a18772,63b2ea841abd0069145443e5b140148960227b6e,src/java/fr/jayasoft/ivy/xml/XmlModuleDescriptorUpdater.java,startElement,89,194,5a82f5f3912063217d88eb3f,https://github.com/apache/ant-ivy/commit/815513f7da72c65034e82236d3203c06d5a18772#diff-25b2f71bc3e2d99a30cc65d4d86535efb6cf81eae7366e43494d8781b6ead8cd
apache/ant-ivy,9022687ce91015634e41e1c528654005df450878,0d07eac1699dfa39048a0edb66e11308669a9961,src/java/fr/jayasoft/ivy/resolver/ChainResolver.java,getDependency,60,102,5a82f5ea912063217b88ca4f,https://github.com/apache/ant-ivy/commit/9022687ce91015634e41e1c528654005df450878#diff-33b74110986de641cc6e7a7584abec98f70ad3d0116b06876abc4c5bfc692051
apache/ant-ivy,9022687ce91015634e41e1c528654005df450878,0d07eac1699dfa39048a0edb66e11308669a9961,src/java/fr/jayasoft/ivy/resolver/BasicResolver.java,getDependency,115,382,5a82f5ea912063217b88ca48,https://github.com/apache/ant-ivy/commit/9022687ce91015634e41e1c528654005df450878#diff-ef52b8715c7287e3d65b6a0ff73650af004b5899917317d8ccc80d98316d604a
apache/ant-ivy,9022687ce91015634e41e1c528654005df450878,0d07eac1699dfa39048a0edb66e11308669a9961,src/java/fr/jayasoft/ivy/resolver/BasicResolver.java,isResolved,384,387,5a82f5ea912063217b88ca4c,https://github.com/apache/ant-ivy/commit/9022687ce91015634e41e1c528654005df450878#diff-ef52b8715c7287e3d65b6a0ff73650af004b5899917317d8ccc80d98316d604a
apache/ant-ivy,67647ddcf1c42762dd7bc6df83ba951edad1ce93,e556b3cdeb75a6ed2285f581164d76f743ab85ee,src/java/org/apache/ivy/plugins/resolver/IBiblioResolver.java,findArtifactRef,111,126,5a82f5b6912063217c889d81,https://github.com/apache/ant-ivy/commit/67647ddcf1c42762dd7bc6df83ba951edad1ce93#diff-e56cbf62df2c6790c09704b71f3fd02908fb05861e7a5b3fcbfcdf73808d87dc
apache/ant-ivy,67647ddcf1c42762dd7bc6df83ba951edad1ce93,e556b3cdeb75a6ed2285f581164d76f743ab85ee,src/java/org/apache/ivy/plugins/resolver/IBiblioResolver.java,findSnapshotVersion,160,216,5a82f5b6912063217c889d82,https://github.com/apache/ant-ivy/commit/67647ddcf1c42762dd7bc6df83ba951edad1ce93#diff-e56cbf62df2c6790c09704b71f3fd02908fb05861e7a5b3fcbfcdf73808d87dc
apache/ant-ivy,7930b8cf42e1aa1b5958268dc3383bd966e28b29,24f7524858704327230c6348fcd1ec99b8e59d3b,src/java/org/apache/ivy/util/MessageLoggerEngine.java,getErrors,91,99,5a82f5c1912063217b88a9ed,https://github.com/apache/ant-ivy/commit/7930b8cf42e1aa1b5958268dc3383bd966e28b29#diff-c66b290c611e28c3c5438175a0563713fc8e17e16ddc3940f0a966190c19f1c3
apache/ant-ivy,7930b8cf42e1aa1b5958268dc3383bd966e28b29,24f7524858704327230c6348fcd1ec99b8e59d3b,src/java/org/apache/ivy/util/MessageLoggerEngine.java,getProblems,101,109,5a82f5c1912063217b88a9ee,https://github.com/apache/ant-ivy/commit/7930b8cf42e1aa1b5958268dc3383bd966e28b29#diff-c66b290c611e28c3c5438175a0563713fc8e17e16ddc3940f0a966190c19f1c3
apache/ant-ivy,7930b8cf42e1aa1b5958268dc3383bd966e28b29,24f7524858704327230c6348fcd1ec99b8e59d3b,src/java/org/apache/ivy/util/MessageLoggerEngine.java,getWarns,111,119,5a82f5c1912063217b88a9ef,https://github.com/apache/ant-ivy/commit/7930b8cf42e1aa1b5958268dc3383bd966e28b29#diff-c66b290c611e28c3c5438175a0563713fc8e17e16ddc3940f0a966190c19f1c3
apache/ant-ivy,7930b8cf42e1aa1b5958268dc3383bd966e28b29,24f7524858704327230c6348fcd1ec99b8e59d3b,src/java/org/apache/ivy/util/MessageLoggerEngine.java,clearProblems,126,132,5a82f5c1912063217b88a9f0,https://github.com/apache/ant-ivy/commit/7930b8cf42e1aa1b5958268dc3383bd966e28b29#diff-c66b290c611e28c3c5438175a0563713fc8e17e16ddc3940f0a966190c19f1c3
apache/ant-ivy,7930b8cf42e1aa1b5958268dc3383bd966e28b29,24f7524858704327230c6348fcd1ec99b8e59d3b,src/java/org/apache/ivy/util/MessageLoggerEngine.java,error,166,168,5a82f5c1912063217b88a9f1,https://github.com/apache/ant-ivy/commit/7930b8cf42e1aa1b5958268dc3383bd966e28b29#diff-c66b290c611e28c3c5438175a0563713fc8e17e16ddc3940f0a966190c19f1c3
apache/ant-ivy,7930b8cf42e1aa1b5958268dc3383bd966e28b29,24f7524858704327230c6348fcd1ec99b8e59d3b,src/java/org/apache/ivy/util/MessageLoggerEngine.java,warn,194,196,5a82f5c1912063217b88a9f2,https://github.com/apache/ant-ivy/commit/7930b8cf42e1aa1b5958268dc3383bd966e28b29#diff-c66b290c611e28c3c5438175a0563713fc8e17e16ddc3940f0a966190c19f1c3
apache/ant-ivy,70f4b5549622b0ccc70bd2087700c510f10fc6f0,b7ede187f60719aa24a52f8159a7d8a47965f0f6,src/java/org/apache/ivy/plugins/resolver/BasicResolver.java,cacheModuleDescriptor,353,383,5a82f5f6912063217d88ed0a,https://github.com/apache/ant-ivy/commit/70f4b5549622b0ccc70bd2087700c510f10fc6f0#diff-cfd1f554ec57a13b32bfc5a699663bb82b893d3585d9206e84e1a5abc12ccfc2
apache/ant-ivy,70f4b5549622b0ccc70bd2087700c510f10fc6f0,b7ede187f60719aa24a52f8159a7d8a47965f0f6,src/java/org/apache/ivy/plugins/resolver/BasicResolver.java,checkDescriptorConsistency,582,645,5a82f5f6912063217d88ed0b,https://github.com/apache/ant-ivy/commit/70f4b5549622b0ccc70bd2087700c510f10fc6f0#diff-cfd1f554ec57a13b32bfc5a699663bb82b893d3585d9206e84e1a5abc12ccfc2
apache/ant-ivy,6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,b1cfd88a8c23302077bda847f4da7f0b5fc59ec1,src/java/org/apache/ivy/util/url/BasicURLHandler.java,getURLInfo,58,87,5a82f5b7912063217c889e6f,https://github.com/apache/ant-ivy/commit/6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0#diff-bc6c9c91b6ae57c5d096fa1321ae481292a393630801da17d020be80cb206626
apache/ant-ivy,6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,b1cfd88a8c23302077bda847f4da7f0b5fc59ec1,src/java/org/apache/ivy/util/url/BasicURLHandler.java,openStream,107,137,5a82f5b7912063217c889e71,https://github.com/apache/ant-ivy/commit/6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0#diff-bc6c9c91b6ae57c5d096fa1321ae481292a393630801da17d020be80cb206626
apache/ant-ivy,6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,b1cfd88a8c23302077bda847f4da7f0b5fc59ec1,src/java/org/apache/ivy/util/url/BasicURLHandler.java,download,139,167,5a82f5b7912063217c889e72,https://github.com/apache/ant-ivy/commit/6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0#diff-bc6c9c91b6ae57c5d096fa1321ae481292a393630801da17d020be80cb206626
apache/ant-ivy,6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,b1cfd88a8c23302077bda847f4da7f0b5fc59ec1,src/java/org/apache/ivy/util/url/BasicURLHandler.java,upload,169,200,5a82f5b7912063217c889e73,https://github.com/apache/ant-ivy/commit/6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0#diff-bc6c9c91b6ae57c5d096fa1321ae481292a393630801da17d020be80cb206626
apache/ant-ivy,8d851390736dcb916646b043a5ed7ff8f212e37c,ff2f32b914a5486e4f4870c6bc6fae14a85fb086,src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorParser.java,parseDescriptor,111,301,5a82f604912063217d89019f,https://github.com/apache/ant-ivy/commit/8d851390736dcb916646b043a5ed7ff8f212e37c#diff-f0381b6e17a800e6b4e72ea1b7e4af982a103a52a9bb7f920f9b680446008e0c
apache/ant-ivy,8d851390736dcb916646b043a5ed7ff8f212e37c,ff2f32b914a5486e4f4870c6bc6fae14a85fb086,src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorBuilder.java,addDependencyMgt,366,394,5a82f604912063217d89018d,https://github.com/apache/ant-ivy/commit/8d851390736dcb916646b043a5ed7ff8f212e37c#diff-34793697c45964200ac5b59e6229e52dae34eb9d7e2ef40e43992a15a058199a
apache/ant-ivy,8d851390736dcb916646b043a5ed7ff8f212e37c,ff2f32b914a5486e4f4870c6bc6fae14a85fb086,src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorBuilder.java,addPlugin,396,406,5a82f604912063217d890190,https://github.com/apache/ant-ivy/commit/8d851390736dcb916646b043a5ed7ff8f212e37c#diff-34793697c45964200ac5b59e6229e52dae34eb9d7e2ef40e43992a15a058199a
apache/ant-ivy,8d851390736dcb916646b043a5ed7ff8f212e37c,ff2f32b914a5486e4f4870c6bc6fae14a85fb086,src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorBuilder.java,getPlugins,408,421,5a82f604912063217d890192,https://github.com/apache/ant-ivy/commit/8d851390736dcb916646b043a5ed7ff8f212e37c#diff-34793697c45964200ac5b59e6229e52dae34eb9d7e2ef40e43992a15a058199a
apache/ant-ivy,8d851390736dcb916646b043a5ed7ff8f212e37c,ff2f32b914a5486e4f4870c6bc6fae14a85fb086,src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorBuilder.java,getDefaultVersion,457,465,5a82f604912063217d890193,https://github.com/apache/ant-ivy/commit/8d851390736dcb916646b043a5ed7ff8f212e37c#diff-34793697c45964200ac5b59e6229e52dae34eb9d7e2ef40e43992a15a058199a
apache/ant-ivy,8d851390736dcb916646b043a5ed7ff8f212e37c,ff2f32b914a5486e4f4870c6bc6fae14a85fb086,src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorBuilder.java,getDefaultScope,467,481,5a82f604912063217d890194,https://github.com/apache/ant-ivy/commit/8d851390736dcb916646b043a5ed7ff8f212e37c#diff-34793697c45964200ac5b59e6229e52dae34eb9d7e2ef40e43992a15a058199a
apache/ant-ivy,8d851390736dcb916646b043a5ed7ff8f212e37c,ff2f32b914a5486e4f4870c6bc6fae14a85fb086,src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorBuilder.java,getDependencyMgtExclusions,503,530,5a82f604912063217d890195,https://github.com/apache/ant-ivy/commit/8d851390736dcb916646b043a5ed7ff8f212e37c#diff-34793697c45964200ac5b59e6229e52dae34eb9d7e2ef40e43992a15a058199a
apache/ant-ivy,8d851390736dcb916646b043a5ed7ff8f212e37c,ff2f32b914a5486e4f4870c6bc6fae14a85fb086,src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorBuilder.java,getDependencyManagementMap,532,558,5a82f604912063217d890196,https://github.com/apache/ant-ivy/commit/8d851390736dcb916646b043a5ed7ff8f212e37c#diff-34793697c45964200ac5b59e6229e52dae34eb9d7e2ef40e43992a15a058199a
apache/ant-ivy,8d851390736dcb916646b043a5ed7ff8f212e37c,ff2f32b914a5486e4f4870c6bc6fae14a85fb086,src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorBuilder.java,getDependencyManagements,560,593,5a82f604912063217d890198,https://github.com/apache/ant-ivy/commit/8d851390736dcb916646b043a5ed7ff8f212e37c#diff-34793697c45964200ac5b59e6229e52dae34eb9d7e2ef40e43992a15a058199a
apache/ant-ivy,8d851390736dcb916646b043a5ed7ff8f212e37c,ff2f32b914a5486e4f4870c6bc6fae14a85fb086,src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorBuilder.java,addExtraInfo,604,608,5a82f604912063217d89019b,https://github.com/apache/ant-ivy/commit/8d851390736dcb916646b043a5ed7ff8f212e37c#diff-34793697c45964200ac5b59e6229e52dae34eb9d7e2ef40e43992a15a058199a
apache/ant-ivy,8d851390736dcb916646b043a5ed7ff8f212e37c,ff2f32b914a5486e4f4870c6bc6fae14a85fb086,src/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorParser.java,mergeInfo,542,566,5a82f604912063217d8901a2,https://github.com/apache/ant-ivy/commit/8d851390736dcb916646b043a5ed7ff8f212e37c#diff-98a885fc9738e8d49a74612fc7dcb7cc7ef2230886ed31f5c5cd08559ef3bc12
apache/ant-ivy,8d851390736dcb916646b043a5ed7ff8f212e37c,ff2f32b914a5486e4f4870c6bc6fae14a85fb086,src/java/org/apache/ivy/osgi/repo/AbstractOSGiResolver.java,buildResolvedCapabilityMd,196,231,5a82f604912063217d89018a,https://github.com/apache/ant-ivy/commit/8d851390736dcb916646b043a5ed7ff8f212e37c#diff-f9204f91139a3c6832cfd3da9e5517d157d557ff26afe8eef64734af1b0e1c83
apache/ant-ivy,8d851390736dcb916646b043a5ed7ff8f212e37c,ff2f32b914a5486e4f4870c6bc6fae14a85fb086,src/java/org/apache/ivy/osgi/core/BundleInfoAdapter.java,toModuleDescriptor,85,174,5a82f604912063217d890188,https://github.com/apache/ant-ivy/commit/8d851390736dcb916646b043a5ed7ff8f212e37c#diff-6d25a8c458af1c9f2eb73546a05277a66363c856b223319cf7c5bd934dd352de
apache/ant-ivy,7126e673ceb6ff1fbac0ad53f82b268685cee9ff,de07bb13f0a395c2c9b7469b13736e0212eebcca,src/java/org/apache/ivy/plugins/matcher/ModuleIdMatcher.java,ModuleIdMatcher,29,34,5a82f5d6912063217a88bedd,https://github.com/apache/ant-ivy/commit/7126e673ceb6ff1fbac0ad53f82b268685cee9ff#diff-50c7a8cafa093f88ae7436981f4755d734185273dc7a1e7f41b86a62b8142b8d
